czone,msa,score,rank,housing_share,hh_income,amenity_income_price,amenity_value
38901,"Eugene-Springfield, OR Metropolitan Statistical Area",0.318162761,21,0.2479072,90596.53464,0.078874839,7145.79
38901,"Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area",0.318162761,21,0.2479072,90596.53464,0.078874839,7145.79
38901,"Salem, OR Metropolitan Statistical Area",0.318162761,21,0.2479072,90596.53464,0.078874839,7145.79
7900,"Gainesville, FL Metropolitan Statistical Area",0.299817152,22,0.257734933,90159.97757,0.077273354,6966.96
35600,"Hilo, HI Micropolitan Statistical Area",0.29909216,23,0.219156526,106632.9577,0.065547999,6989.58
37500,"Salinas, CA Metropolitan Statistical Area",0.260285733,24,0.246929141,201237.607,0.064272133,12933.97
37500,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",0.260285733,24,0.246929141,201237.607,0.064272133,12933.97
37500,"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",0.260285733,24,0.246929141,201237.607,0.064272133,12933.97
2000,"Elizabeth City, NC Micropolitan Statistical Area",0.251988293,25,0.2417136,110962.1361,0.060908998,6758.59
2000,"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",0.251988293,25,0.2417136,110962.1361,0.060908998,6758.59
7300,"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",0.236237966,26,0.219437578,95745.71039,0.051839487,4963.41
7300,"Vero Beach, FL Metropolitan Statistical Area",0.236237966,26,0.219437578,95745.71039,0.051839487,4963.41
37800,"Napa, CA Metropolitan Statistical Area",0.234805577,27,0.245073959,182326.6298,0.057544732,10491.94
37800,"Oakland-Fremont-Hayward, CA Metropolitan Division",0.234805577,27,0.245073959,182326.6298,0.057544732,10491.94
37800,"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",0.234805577,27,0.245073959,182326.6298,0.057544732,10491.94
37800,"Vallejo-Fairfield, CA Metropolitan Statistical Area",0.234805577,27,0.245073959,182326.6298,0.057544732,10491.94
20500,"Barnstable Town, MA Metropolitan Statistical Area",0.228969722,28,0.260101177,144765.1859,0.059555294,8621.53
20500,"Boston-Quincy, MA Metropolitan Division",0.228969722,28,0.260101177,144765.1859,0.059555294,8621.53
20500,"Cambridge-Newton-Framingham, MA Metropolitan Division",0.228969722,28,0.260101177,144765.1859,0.059555294,8621.53
20500,"Essex County, MA Metropolitan Division",0.228969722,28,0.260101177,144765.1859,0.059555294,8621.53
20500,"Worcester, MA Metropolitan Statistical Area",0.228969722,28,0.260101177,144765.1859,0.059555294,8621.53
1302,"Dillon, SC Micropolitan Statistical Area",0.226525853,29,0.228345397,83710.17727,0.051726136,4330
1302,"Florence, SC Metropolitan Statistical Area",0.226525853,29,0.228345397,83710.17727,0.051726136,4330
1302,"Georgetown, SC Micropolitan Statistical Area",0.226525853,29,0.228345397,83710.17727,0.051726136,4330
1302,"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area",0.226525853,29,0.228345397,83710.17727,0.051726136,4330
37300,"Chico, CA Metropolitan Statistical Area",0.221277066,30,0.237293657,113034.8642,0.052507644,5935.19
37300,"Yuba City-Marysville, CA Metropolitan Statistical Area",0.221277066,30,0.237293657,113034.8642,0.052507644,5935.19
39302,"Bellingham, WA Metropolitan Statistical Area",0.215131379,31,0.234173973,103608.5109,0.05037817,5219.61
19400,"New York-Wayne-White Plains, NY-NJ Metropolitan Division",0.207205003,32,0.275670258,133747.4165,0.057120257,7639.69
19400,"Suffolk County-Nassau County, NY Metropolitan Division",0.207205003,32,0.275670258,133747.4165,0.057120257,7639.69
38801,"Portland-Vancouver-Beaverton, OR-WA Metropolitan Statistical Area",0.20354978,33,0.243786825,117708.466,0.049622755,5841.02
6700,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",0.175271084,34,0.237770529,98500.37912,0.041674298,4104.93
5401,"Bowling Green, KY Metropolitan Statistical Area",0.165061967,35,0.204995362,79239.04354,0.033836938,2681.21
37604,"Carson City, NV Metropolitan Statistical Area",0.153040581,36,0.238501074,107074.1605,0.036500343,3908.24
37604,"Fallon, NV Micropolitan Statistical Area",0.153040581,36,0.238501074,107074.1605,0.036500343,3908.24
37604,"Reno-Sparks, NV Metropolitan Statistical Area",0.153040581,36,0.238501074,107074.1605,0.036500343,3908.24
5600,"Nashville-Davidson--Murfreesboro, TN Metropolitan Statistical Area",0.125456899,37,0.222700547,114905.2215,0.02793932,3210.37
29204,"Lawrence, KS Metropolitan Statistical Area",0.123844891,38,0.223124657,92162.95105,0.027632849,2546.72
29204,"Topeka, KS Metropolitan Statistical Area",0.123844891,38,0.223124657,92162.95105,0.027632849,2546.72
